job_title,company_name,description,payscale,location,job_type,company_type,date_posted,parent_source,active
Work at Lever,[],"['\n            ', '\n          ', '\n        ']",Best In Industry,,Full-time,,Yesterday,,True
Senior Sales Operations Manager,[],['Lever is looking for a Senior Sales Operations Manager who can manage the day-to-day field operations and execute on projects that increase the effectiveness of our sales force.'],Best In Industry,Toronto,Full-time,,Yesterday,,True
Senior Software Engineer,[],[],Best In Industry,Toronto,Full-time,,Yesterday,,True
Senior Backend Systems Engineer,[],[],Best In Industry,Toronto,Full-time,,Yesterday,,True
"Engineering Manager, Backend Systems",[],[],Best In Industry,Toronto,Full-time,,Yesterday,,True
Strategic Customer Success Manager,[],[],Best In Industry,Toronto,Full-time,,Yesterday,,True
Solutions Architect,[],"['Lever, at its core, is a customer-driven company. Our customers inspire us to iterate, implement feedback, and drive forward to make Lever the best it can be. Having recently raised $40MM in our Series C, we’re growing our Customer Success organization and looking for a Solutions Architect to add to our Enterprise Solutions team. The Enterprise Solutions team works with some of our largest customers to help them make meaningful and sustainable change to their integration efforts with proven methodology, domain expertise, and global adoption. ']",Best In Industry,Toronto,Full-time,,Yesterday,,True
Senior Customer Success Manager,[],[],Best In Industry,Toronto,Full-time,,Yesterday,,True
"Director, Customer Success",[],"['We’re looking for a key leader for our Customer Success (CS) team who will evolve and build a fast growing function within the company. We’re still new to the Toronto area but we’re not new to growing our business; that’s where you come in. We’ve recently blended our traditional customer success and renewal teams to create an account management function; you will help us evolve the approach, manage through the change, define success, lead the team to achieving, and ultimately directly contribute to the success of our customers as well as our top-line company revenue goals.\xa0']",Best In Industry,Toronto,Full-time,,Yesterday,,True
Mid-Market Sales Engineer,[],[],Best In Industry,Toronto,Full-time,,Yesterday,,True
Director of Sales Development,[],[],Best In Industry,Toronto,Full-time,,Yesterday,,True
Technical Product Manager,[],[],Best In Industry,Toronto,Full-time,,Yesterday,,True
Senior Product Manager,[],"['As a Senior Product Manager, you will own product features from conception to launch. \xa0You will excel at cross-functional collaboration and work with leadership, design, engineering, sales, marketing, and customer success to deliver value to users through product launches. \xa0You will seamlessly flow between high-level strategic planning and day-to-day project execution. You will set and achieve ambitious goals on growth, adoption and engagement, helping the company both define and achieve its success.']",Best In Industry,Toronto,Full-time,,Yesterday,,True
"Director, Customer Success",[],"['We’re looking for a key leader for our Customer Success (CS) team who will evolve and build a fast growing function within the company. We’ve recently blended our traditional customer success and renewal teams to create an account management function; you will help us evolve the approach, manage through the change, define success, lead the team to achieving, and ultimately directly contribute to the success of our customers as well as our top-line company revenue goals.\xa0']",Best In Industry,San Francisco,Full-time,,Yesterday,,True
Manager of Customer Support,[],[],Best In Industry,San Francisco,Full-time,,Yesterday,,True
Strategic Sales Engineer,[],[],Best In Industry,San Francisco,Full-time,,Yesterday,,True
Sales Development Representative,[],"['We’re looking for a driven Sales Development Representative to join our growing team. As an SDR, you are the first point of contact for all of Lever’s sales efforts. You’ll generate demand, interest, and excitement for Lever’s product while partnering to create a steady pipeline of business to arm your counterparts on the Account Executive team. You’ll actively contribute to our revenue while learning the ropes of a growth-stage startup and the in and outs of sales. ']",Best In Industry,San Francisco,Full-time,,Yesterday,,True
Mid-Market Sales Leader,[],"['Recruiting is a hot market, growing 12-15% y/y on its own, and Recruiting systems like Lever are in high demand. At the same time, hiring has never been more competitive and costly, making talent solutions that improve a company’s hiring ROI incredibly valuable. ']",Best In Industry,San Francisco,Full-time,,Yesterday,,True
Senior Product Manager,[],"['As a Senior Product Manager, you will own product features from conception to launch. \xa0You will excel at cross-functional collaboration and work with leadership, design, engineering, sales, marketing, and customer success to deliver value to users through product launches. \xa0You will seamlessly flow between high-level strategic planning and day-to-day project execution. You will set and achieve ambitious goals on growth, adoption and engagement, helping the company both define and achieve its success.']",Best In Industry,San Francisco,Full-time,,Yesterday,,True
Product Manager,[],[],Best In Industry,San Francisco,Full-time,,Yesterday,,True
Product Operations Specialist,[],"['Join a high-performing, tight-knit team in a fast-growing startup working to making hiring more transparent, strategic, and effective. ', ' This role holds the deep product knowledge and our challenge is to improve and scale operations to support the product teams to deliver best in class functionalist to our clients.']",Best In Industry,San Francisco,Full-time,,Yesterday,,True
Lead Product Designer,[],"['Design is one of Lever’s core competencies (we teach every employee design thinking principles during their first week) and as a Lead Product Designer on the team, you’ll lead the way. We believe that bringing well-designed user experiences to the workplace will be the key to displacing the stale and broken status-quo of enterprise software. Built from the ground-up with user-centered design methodology and principles, Lever is the only hiring software that is mobilizing entire companies such as Netflix, Eventbrite, and Cirque du Soleil to effortlessly collaborate on hiring.\xa0\xa0As a Lead Product Designer, you will leverage your experience to tackle design challenges across the board. This role is a part of the Product Leadership team. You will play a key part of Lever’s design team as equal parts individual contributor driving design for a project team as well as supporting people management functions of junior designers. The Lead Designer will also support further developing the design team as well as scale design processes to suit our growing organization. ']",Best In Industry,San Francisco,Full-time,,Yesterday,,True
BI Developer,[],[],Best In Industry,San Francisco,Full-time,,Yesterday,,True
Candidate Experience Specialist,[],[],Best In Industry,San Francisco,Full-time,,Yesterday,,True
Senior Sales Operations Manager,[],['Lever is looking for a Senior Sales Operations Manager who can manage the day-to-day field operations and execute on projects that increase the effectiveness of our sales force.'],Best In Industry,San Francisco,Full-time,,Yesterday,,True
Software Engineer,[],"['In our growing engineering organization, you’ll be a driver for positive change to Lever’s engineering culture, processes, and technology. You will be a strong voice in product planning, drive the implementation and release of major features, and be a champion of best practices for writing well-tested, well-organized code.']",Best In Industry,San Francisco,Full-time,,Yesterday,,True
Senior Software Engineer,[],"['As a Software Engineer, you’ll help us build out our core product by developing high-impact, user-facing features. In our growing engineering organization, you’ll be developing and shipping new features and updates to Lever’s product. You’ll be learning about our real-time web stack UI frameworks that help us deliver a beautiful and high quality solution to our customers. You’ll work collaboratively with product managers and designers to drive the implementation and release of major features, and be a champion of best practices for writing well-tested, well-organized code.']",Best In Industry,San Francisco,Full-time,,Yesterday,,True
Infrastructure Engineer,[],[],Best In Industry,San Francisco,Full-time,,Yesterday,,True
Strategic Customer Success Manager,[],"[""As Lever continues to grow, we need Customer Success Managers to champion our customers' needs and voices. We're lucky to receive a lot of feedback and recommendations from our customers, and we need to continue to have a conduit of that information to our internal teams here. You'll help lead the charge as our first team members as we continue to add customers to our roster globally! ""]",Best In Industry,San Francisco,Full-time,,Yesterday,,True
Senior Customer Success Manager,[],"[""As Lever continues to grow, we need Customer Success Managers to champion our customers' needs and voices. We're lucky to receive a lot of feedback and recommendations from our customers, and we need to continue to have a conduit of that information to our internal teams here. You'll help lead the charge as our first team members as we continue to add customers to our roster globally! ""]",Best In Industry,San Francisco,Full-time,,Yesterday,,True
Product Consultant,[],"['At Lever, we know how important hiring is to each and every company. We also know how challenging it can be to implement products or software when you don’t know first-hand how they’re built. Not only will you have the power to set up customers for success, but you’ll learn the ins and outs of how our products are built, why they’re built, and how we strive to help the world hire with conviction. ']",Best In Industry,San Francisco,Full-time,,Yesterday,,True
Implementation Specialist,[],[],Best In Industry,San Francisco,Full-time,,Yesterday,,True
,[],[],Best In Industry,,Full-time,,Yesterday,,True
Product Designer,[],"[""We're open to considering designers for any team here- consumer, point of purchase, or care/servicing, as well as we're open to any level of seniority. We want to find the right spot for you!"", 'We also consider qualified applicants with arrest and conviction records for positions in accordance with applicable laws, including the San Francisco Fair Chance Ordinance.']",Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
"Product Design Manager, Servicing & Care",[],"['We also consider qualified applicants with arrest and conviction records for positions in accordance with applicable laws, including the San Francisco Fair Chance Ordinance.']",Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
"Product Design Manager, Consumer Purchasing",[],"['We also consider qualified applicants with arrest and conviction records for positions in accordance with applicable laws, including the San Francisco Fair Chance Ordinance.']",Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
Staff Data Scientist,[],"['\t- How do we underwrite users with short credit histories?\xa0', 'We also consider qualified applicants with arrest and conviction records for positions in accordance with applicable laws, including the San Francisco Fair Chance Ordinance.']",Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
Senior Data Scientist,[],"['\t- How do we underwrite users with short credit histories?\xa0', 'We also consider qualified applicants with arrest and conviction records for positions in accordance with applicable laws, including the San Francisco Fair Chance Ordinance.']",Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
Data Scientist - New Grad 2020,[],"['- How do we detect that an identity is stolen - in real time?', 'We also consider qualified applicants with arrest and conviction records for positions in accordance with applicable laws, including the San Francisco Fair Chance Ordinance.']",Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
"Director, Compliance",[],[],Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
"Senior Director, Head of Payment & Platform Partnerships",[],[],Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
"Director, Head of Product Partnerships",[],[],Best In Industry,"San Francisco, CA",Full Time - Non Exempt,,Yesterday,,True
"Director, Head of Growth Programs & Partnerships",[],[],Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
Revenue Operations Senior Analyst,[],[],Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
Senior Consumer Business Manager,[],[],Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
Technical Account Manager,[],"['As a Technical Account Manager you will be responsible for the technical success of our largest merchants post-sale. You will advise their developers for the entire customer lifecycle: onboarding, account growth and renewal. You will help them not only to avoid pitfalls, but to take advantage of more of Affirm’s offerings. Technical Account Managers work closely with Affirm’s Product, Operations, Customer Success and Merchant Help teams.']",Best In Industry,"Chicago, IL",Full Time - Exempt,,Yesterday,,True
Enterprise Technical Account Manager,[],[],Best In Industry,"New York, NY",Full Time - Exempt,,Yesterday,,True
Enterprise Technical Account Manager,[],"['We also consider qualified applicants with arrest and conviction records for positions in accordance with applicable laws, including the San Francisco Fair Chance Ordinance.']",Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
"Supervisor, Customer Operations Support",[],[],Best In Industry,"Pittsburgh, PA",Full Time - Exempt,,Yesterday,,True
Senior Sales Engineer,[],"['As a Sales Engineer you’ll combine your technical aptitude, exceptional communication skills, and creative problem solving to implement the Affirm solution with our growing network of enterprise merchant partners. You’ll help with pre-sale activities, analyzing requirements and identifying solutions. Sales Engineers work closely with Affirm’s Sales, Engineering, and Product teams. You will work cross-functionally to develop merchant solutions, identify product enhancements, and build internal processes that scale.']",Best In Industry,"Chicago, IL",Full Time - Exempt,,Yesterday,,True
Senior Sales Engineer,[],[],Best In Industry,"San Francisco, CA",Full Time - Exempt,,Yesterday,,True
Sr. Physical Security Engineer,[],[],Best In Industry,"Mount Laurel, NJ",Permanent hire,,Yesterday,,True
Physical Security Engineer,[],[],Best In Industry,"Mount Laurel, NJ",Permanent hire,,Yesterday,,True
Service Electrician,[],[],Best In Industry,"Richmond, VA",Contract to Hire,,Yesterday,,True
Project Manager in Training,[],[],Best In Industry,"Lowell, AR",Contract to Hire,,Yesterday,,True
Agile Delivery Lead (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/0fcfc7c2-4d59-4342-b901-3dac3474973b/apply,True
SRE Tech Lead (m/f/d),[],['•\t\tFlexible working times and home office when you need it'],Best In Industry,Munich,full-time,,Yesterday,https://jobs.lever.co/joyn/1a173f73-2243-4a7e-b785-d541dd324f54/apply,True
